    90/299     9.97G   0.02949   0.00679         0   0.03628        16       320    0.7975    0.6589    0.7594    0.4476   0.04546  0.009757         0
    91/299     9.97G   0.02954  0.006918         0   0.03645        21       320    0.7765    0.6621    0.7399    0.4245   0.04613  0.009604         0
    92/299     9.97G   0.02982  0.007407         0   0.03723        23       320    0.6892    0.7789    0.7753    0.4544   0.04404   0.01001         0
    93/299     9.97G   0.02987  0.006943         0   0.03682        13       320    0.7297    0.7222    0.7659    0.4363   0.04518   0.01005         0
    94/299     9.97G   0.02926  0.006907         0   0.03617        27       320     0.795    0.6488    0.7453    0.4183   0.04482  0.009975         0
    95/299     9.97G   0.02928  0.007142         0   0.03642        16       320    0.7967    0.6555    0.7477    0.4334   0.04439   0.01022         0
    96/299     9.97G   0.02992  0.007144         0   0.03707        24       320    0.7924    0.7023    0.7631    0.4438   0.04392   0.00977         0
    97/299     9.97G   0.02921   0.00709         0    0.0363        22       320    0.7621    0.6756    0.7527    0.4205   0.04649    0.0101         0
    98/299     9.97G   0.02888  0.007134         0   0.03602        38       320    0.7739     0.699    0.7681    0.4549   0.04423  0.009619         0
    99/299     9.97G   0.02891   0.00695         0   0.03586        22       320    0.7488    0.6589    0.7377     0.411   0.04495   0.01029         0
   100/299     9.97G    0.0291  0.006772         0   0.03587        22       320    0.8041    0.6455    0.7549    0.4405   0.04294   0.01013         0
   101/299     9.97G   0.02922  0.006913         0   0.03613        16       320    0.7415    0.6054    0.7074    0.4181   0.04598   0.01003         0
   102/299     9.97G   0.02896  0.007282         0   0.03624        36       320    0.8924    0.6654      0.79    0.4805   0.04262  0.009837         0
   103/299     9.97G   0.02812  0.006893         0   0.03501        20       320    0.7886    0.6986    0.7686    0.4607   0.04424  0.009881         0
   104/299     9.97G   0.02763  0.007141         0   0.03477        29       320    0.8123    0.6957     0.754    0.4428   0.04457   0.01001         0
   105/299     9.97G   0.02882  0.007435         0   0.03625        26       320    0.7785    0.6254     0.704    0.4252   0.04517   0.01045         0
   106/299     9.97G   0.02814  0.007234         0   0.03537        44       320    0.8273    0.6889    0.7652    0.4558   0.04232   0.01026         0
   107/299     9.97G   0.02731  0.006798         0   0.03411        22       320    0.8208    0.6923    0.7791    0.4594   0.04187   0.01017         0
   108/299     9.97G   0.02721  0.006889         0    0.0341        19       320    0.7696    0.7391    0.7737    0.4766   0.04156   0.01019         0
   109/299     9.97G   0.02748  0.006603         0   0.03408        28       320    0.8201    0.7324    0.8166    0.4972   0.04089   0.01031         0
   110/299     9.97G   0.02733  0.006326         0   0.03365        32       320    0.8658    0.6688    0.8027     0.492   0.04174   0.01016         0
   111/299     9.97G   0.02678  0.006924         0    0.0337         5       320    0.7845    0.7324    0.7974    0.4847   0.04093   0.01015         0
   112/299     9.97G   0.02695  0.006419         0   0.03337        12       320    0.8044    0.7157    0.7989    0.4751   0.04151  0.009998         0
   113/299     9.97G   0.02769  0.006824         0   0.03452        17       320    0.8471    0.6486    0.7749    0.4684    0.0405   0.01053         0
   114/299     9.97G   0.02675  0.007228         0   0.03398        20       320    0.7093    0.7124    0.7513    0.4554   0.04142   0.01088         0
